department,time_of_day,day_of_week,number_of_patients,doctor_count,emergency_cases,waiting_time_minutes
Orthopedics,0,Wednesday,10,6,18,343
Pediatrics,7,Sunday,89,7,3,126
Emergency,23,Tuesday,19,7,12,241
Pediatrics,21,Wednesday,56,2,14,355
Neurology,3,Friday,76,1,8,600
Cardiology,2,Sunday,38,8,2,69
Neurology,2,Saturday,5,5,1,39
General Medicine,21,Wednesday,73,2,15,417
Orthopedics,12,Friday,98,3,17,433
Pediatrics,7,Friday,90,6,17,327
Pediatrics,6,Tuesday,24,6,5,106
Pediatrics,0,Tuesday,84,8,17,379
Neurology,15,Saturday,11,5,10,169
Orthopedics,5,Thursday,11,5,6,126
Cardiology,6,Monday,54,7,13,243
General Medicine,11,Thursday,6,5,17,267
Cardiology,22,Thursday,51,9,6,163
Neurology,8,Sunday,18,6,9,163
General Medicine,10,Sunday,35,7,7,144
Pediatrics,9,Saturday,54,8,13,230
Emergency,20,Sunday,65,5,17,334
Neurology,0,Wednesday,45,4,4,156
Neurology,17,Saturday,18,8,13,214
Orthopedics,3,Saturday,9,9,9,178
Cardiology,4,Friday,79,1,14,600
Neurology,8,Friday,9,3,5,98
Neurology,16,Friday,68,4,8,217
Pediatrics,2,Monday,33,7,9,198
Pediatrics,15,Wednesday,79,6,16,316
General Medicine,4,Wednesday,9,1,0,81
Emergency,15,Friday,40,4,13,250
Orthopedics,2,Thursday,83,6,3,150
Emergency,19,Monday,23,3,1,58
General Medicine,14,Thursday,68,2,2,202
Pediatrics,2,Tuesday,26,2,6,202
Cardiology,19,Wednesday,38,4,13,250
Pediatrics,13,Wednesday,60,1,11,482
Orthopedics,15,Thursday,21,2,18,335
Pediatrics,16,Monday,80,2,17,461
Orthopedics,23,Wednesday,93,4,14,398
Orthopedics,19,Thursday,60,4,0,88
Orthopedics,22,Saturday,21,1,2,167
General Medicine,17,Saturday,78,7,14,270
Orthopedics,17,Sunday,96,7,3,114
Orthopedics,21,Monday,86,1,14,600
Cardiology,13,Thursday,22,8,9,154
Emergency,17,Sunday,49,7,5,121
Neurology,14,Saturday,82,7,12,242
Emergency,14,Monday,60,6,6,141
Orthopedics,5,Sunday,84,4,0,142
Cardiology,14,Friday,54,8,10,192
Pediatrics,17,Monday,62,2,13,356
Cardiology,3,Tuesday,22,7,5,117
Orthopedics,22,Friday,84,3,4,249
Cardiology,7,Sunday,85,3,18,431
Cardiology,14,Thursday,11,7,18,289
Orthopedics,2,Friday,80,3,12,388
General Medicine,14,Friday,14,5,6,110
Cardiology,12,Sunday,73,8,7,164
Neurology,8,Thursday,89,4,13,310
Neurology,1,Thursday,7,7,18,345
Cardiology,23,Saturday,87,7,18,413
General Medicine,7,Tuesday,48,2,11,300
Pediatrics,19,Thursday,74,8,8,166
Orthopedics,16,Wednesday,18,9,13,220
Neurology,12,Wednesday,8,6,5,93
Pediatrics,0,Tuesday,22,5,14,285
Cardiology,1,Monday,97,1,12,600
Pediatrics,14,Sunday,56,1,6,377
Emergency,11,Monday,42,9,10,184
Neurology,13,Wednesday,84,4,9,242
Cardiology,1,Thursday,24,1,0,150
Orthopedics,17,Tuesday,92,3,6,247
General Medicine,21,Monday,48,6,17,302
Cardiology,6,Monday,55,8,2,68
Orthopedics,22,Sunday,23,2,8,238
General Medicine,5,Friday,72,8,4,143
General Medicine,13,Wednesday,70,1,12,534
Cardiology,7,Thursday,17,2,15,272
Pediatrics,21,Tuesday,66,8,15,268
Pediatrics,1,Monday,65,7,11,264
General Medicine,16,Sunday,34,5,17,307
Pediatrics,4,Friday,34,2,10,301
Emergency,13,Wednesday,55,9,16,281
General Medicine,23,Wednesday,92,5,6,228
General Medicine,19,Sunday,52,8,14,255
Orthopedics,20,Tuesday,37,4,5,132
Pediatrics,20,Monday,78,9,5,130
General Medicine,21,Tuesday,86,7,17,327
Emergency,2,Sunday,23,2,18,407
Orthopedics,4,Sunday,75,3,19,495
Cardiology,15,Tuesday,61,2,18,431
General Medicine,17,Saturday,23,5,1,49
Emergency,16,Friday,92,2,2,267
Neurology,10,Wednesday,83,5,13,281
Emergency,16,Saturday,45,9,3,80
Emergency,15,Thursday,46,2,16,385
Orthopedics,22,Wednesday,91,9,5,157
Cardiology,1,Wednesday,56,7,18,383
Neurology,3,Friday,8,7,8,170
Pediatrics,20,Thursday,8,5,3,71
Pediatrics,6,Monday,9,8,6,102
Emergency,1,Thursday,45,7,3,110
Orthopedics,5,Monday,91,6,10,287
Orthopedics,16,Thursday,65,2,1,184
Pediatrics,6,Tuesday,79,6,9,213
Neurology,4,Sunday,59,2,5,277
Cardiology,4,Thursday,79,1,7,600
Neurology,19,Saturday,17,9,14,238
General Medicine,15,Saturday,18,5,12,211
General Medicine,18,Friday,64,4,1,96
Cardiology,8,Sunday,76,8,19,341
Pediatrics,4,Sunday,29,5,0,43
Cardiology,7,Monday,86,7,14,280
Orthopedics,8,Wednesday,48,3,6,182
General Medicine,4,Friday,86,8,17,384
Emergency,9,Saturday,14,8,9,160
Emergency,1,Saturday,75,3,14,421
Pediatrics,8,Monday,54,9,4,93
Orthopedics,10,Saturday,48,8,10,189
Neurology,3,Saturday,18,1,7,234
Orthopedics,21,Monday,19,8,7,121
Emergency,21,Saturday,20,4,5,99
Emergency,21,Wednesday,6,6,14,217
General Medicine,1,Tuesday,34,9,14,295
Orthopedics,22,Friday,34,5,4,129
Orthopedics,5,Wednesday,86,7,12,305
Emergency,13,Wednesday,35,1,13,385
Neurology,0,Tuesday,81,9,10,249
Pediatrics,17,Sunday,24,6,19,314
Pediatrics,6,Friday,53,4,11,238
Orthopedics,0,Wednesday,39,6,19,403
Pediatrics,0,Saturday,27,5,0,52
Emergency,0,Tuesday,65,3,2,176
Emergency,23,Sunday,88,7,7,218
Orthopedics,3,Friday,59,3,11,311
Orthopedics,3,Thursday,71,2,14,481
General Medicine,17,Monday,12,4,2,52
Orthopedics,10,Saturday,44,7,7,159
Neurology,0,Tuesday,63,5,18,418
Pediatrics,9,Monday,36,9,19,305
Orthopedics,8,Sunday,97,7,5,150
Cardiology,22,Sunday,11,9,17,325
General Medicine,3,Thursday,6,9,10,195
Cardiology,5,Wednesday,89,2,11,476
Emergency,15,Wednesday,10,1,1,79
Pediatrics,1,Friday,96,4,4,224
Orthopedics,22,Tuesday,40,4,3,125
Cardiology,17,Tuesday,36,2,8,227
Pediatrics,9,Sunday,49,3,12,279
Emergency,23,Friday,46,3,12,325
Neurology,23,Monday,57,5,14,330
General Medicine,16,Wednesday,13,1,1,86
Pediatrics,12,Wednesday,79,9,12,233
Pediatrics,23,Sunday,91,8,6,188
Neurology,17,Tuesday,79,8,16,299
Pediatrics,21,Sunday,53,3,7,206
Emergency,12,Tuesday,6,2,17,281
Emergency,16,Friday,71,1,14,576
Neurology,4,Thursday,15,6,14,276
General Medicine,10,Monday,54,1,4,334
Orthopedics,6,Saturday,39,5,1,67
Cardiology,9,Thursday,19,9,15,245
Orthopedics,16,Thursday,79,9,4,115
Pediatrics,14,Tuesday,35,4,5,130
Cardiology,17,Tuesday,96,7,11,233
Neurology,22,Tuesday,66,7,4,150
Neurology,21,Thursday,32,4,19,332
General Medicine,18,Sunday,29,5,7,150
Cardiology,1,Monday,88,9,10,253
Emergency,3,Sunday,96,7,13,321
Cardiology,2,Tuesday,29,7,16,320
Pediatrics,6,Wednesday,79,7,9,197
Emergency,23,Sunday,87,9,1,84
Neurology,17,Monday,96,5,2,127
Cardiology,9,Wednesday,5,6,12,190
Orthopedics,6,Monday,63,3,16,359
General Medicine,7,Tuesday,73,1,2,410
Orthopedics,5,Sunday,78,2,9,403
General Medicine,21,Saturday,46,8,7,134
Pediatrics,0,Friday,38,1,3,297
Orthopedics,3,Tuesday,70,7,12,281
Cardiology,13,Thursday,22,5,6,116
Cardiology,16,Saturday,81,6,6,166
Orthopedics,19,Thursday,9,8,15,238
Cardiology,17,Monday,24,4,4,96
Pediatrics,10,Thursday,70,6,16,304
Emergency,20,Saturday,79,3,9,274
Pediatrics,13,Saturday,66,7,3,98
General Medicine,8,Tuesday,98,2,13,446
Pediatrics,14,Wednesday,36,8,4,90
General Medicine,11,Tuesday,62,7,1,71
Cardiology,9,Monday,54,8,13,239
Emergency,18,Thursday,42,2,17,367
Cardiology,23,Wednesday,59,3,10,308
Neurology,18,Sunday,32,4,15,281
Cardiology,5,Friday,78,9,17,375
General Medicine,19,Saturday,90,5,15,327
Cardiology,23,Wednesday,85,6,3,140
Cardiology,5,Sunday,26,1,0,168
Emergency,7,Wednesday,47,4,13,260
Cardiology,0,Tuesday,87,4,11,334
Emergency,21,Sunday,85,8,9,196
Orthopedics,16,Friday,92,8,18,342
Neurology,16,Saturday,40,6,3,92
Emergency,23,Monday,56,8,19,392
General Medicine,14,Monday,40,9,2,62
Orthopedics,6,Wednesday,32,5,3,84
Emergency,18,Sunday,82,1,14,600
Emergency,21,Wednesday,62,1,10,474
Neurology,22,Thursday,40,2,15,401
General Medicine,2,Friday,74,2,3,277
Pediatrics,21,Saturday,13,5,5,98
Pediatrics,10,Wednesday,25,7,7,141
Emergency,19,Thursday,68,7,12,235
Cardiology,18,Sunday,80,4,19,402
General Medicine,8,Friday,65,4,3,139
Orthopedics,9,Saturday,98,3,4,239
Cardiology,1,Monday,99,2,9,476
Cardiology,0,Thursday,44,3,4,173
General Medicine,15,Sunday,60,8,11,209
Emergency,17,Friday,8,1,0,50
Emergency,22,Thursday,35,4,9,227
Emergency,16,Wednesday,31,7,4,97
Emergency,5,Tuesday,62,5,18,396
Pediatrics,13,Monday,29,2,18,345
Emergency,22,Wednesday,73,1,19,600
Pediatrics,14,Wednesday,74,6,11,238
Pediatrics,13,Sunday,9,5,15,239
Emergency,23,Sunday,95,3,4,276
Neurology,21,Friday,12,9,16,260
Orthopedics,2,Sunday,13,3,13,270
Cardiology,23,Thursday,19,2,11,275
Pediatrics,22,Monday,11,5,12,250
General Medicine,18,Wednesday,76,9,13,247
General Medicine,11,Friday,19,8,4,86
Orthopedics,1,Monday,41,6,4,114
General Medicine,2,Sunday,87,3,17,498
Neurology,17,Sunday,43,6,13,248
General Medicine,0,Thursday,10,5,17,323
Cardiology,19,Sunday,87,1,19,600
Cardiology,20,Wednesday,61,5,0,61
Pediatrics,5,Saturday,96,7,6,197
Emergency,4,Wednesday,85,9,16,353
Neurology,0,Wednesday,23,1,2,177
Pediatrics,18,Sunday,67,3,9,255
Neurology,0,Monday,35,8,6,144
Emergency,20,Sunday,79,6,11,243
General Medicine,20,Monday,83,5,14,295
General Medicine,15,Monday,14,2,15,273
Emergency,11,Monday,91,3,7,262
Pediatrics,21,Friday,71,2,5,256
Emergency,7,Tuesday,66,1,3,384
Orthopedics,15,Sunday,7,7,10,168
Cardiology,0,Friday,22,3,16,341
Pediatrics,3,Wednesday,29,7,1,57
Neurology,9,Friday,24,7,5,103
Orthopedics,10,Thursday,62,8,3,109
Pediatrics,16,Saturday,97,1,2,523
Emergency,22,Monday,90,5,6,227
Emergency,6,Sunday,54,9,6,135
Emergency,11,Thursday,83,7,15,294
Emergency,20,Sunday,14,1,1,96
Neurology,6,Saturday,25,8,7,121
Orthopedics,11,Thursday,33,3,14,274
General Medicine,14,Sunday,14,4,15,248
Cardiology,1,Wednesday,17,4,0,34
Neurology,13,Monday,51,8,9,178
Neurology,12,Thursday,27,1,6,234
General Medicine,3,Wednesday,54,8,15,327
General Medicine,13,Monday,91,9,9,200
Cardiology,13,Tuesday,99,9,11,229
Cardiology,15,Wednesday,8,5,16,259
General Medicine,6,Friday,71,4,12,268
Emergency,18,Sunday,89,4,11,287
Neurology,1,Monday,57,9,14,308
Pediatrics,9,Thursday,6,8,13,204
Cardiology,17,Saturday,72,7,18,335
Cardiology,16,Thursday,69,3,18,392
General Medicine,4,Friday,83,4,13,367
Orthopedics,11,Sunday,61,9,17,306
Pediatrics,5,Friday,74,8,4,139
Pediatrics,21,Thursday,11,1,19,354
Cardiology,8,Sunday,23,3,5,113
Emergency,19,Saturday,48,2,17,381
Orthopedics,0,Monday,67,2,13,451
Pediatrics,21,Sunday,69,8,3,98
Cardiology,14,Wednesday,43,6,0,44
Pediatrics,20,Sunday,87,6,12,265
Orthopedics,5,Friday,30,4,10,232
Orthopedics,18,Friday,48,1,2,286
Neurology,17,Friday,16,7,16,260
General Medicine,5,Saturday,26,8,17,332
General Medicine,12,Sunday,81,2,9,343
Cardiology,0,Sunday,96,2,15,569
Orthopedics,22,Tuesday,18,1,12,333
Neurology,22,Saturday,90,4,19,492
Neurology,12,Monday,34,6,11,203
Pediatrics,6,Monday,48,5,3,101
Pediatrics,14,Monday,88,4,7,226
Neurology,11,Monday,95,4,11,291
Pediatrics,0,Monday,42,7,18,374
Orthopedics,14,Thursday,63,7,14,266
Emergency,3,Friday,46,2,15,421
Orthopedics,12,Saturday,56,7,11,213
Neurology,22,Thursday,67,2,19,551
Neurology,4,Saturday,65,4,17,420
Orthopedics,1,Tuesday,38,1,11,441
Pediatrics,22,Sunday,43,5,15,327
Pediatrics,0,Wednesday,45,1,19,600
General Medicine,15,Friday,41,4,10,217
Neurology,22,Tuesday,69,9,19,405
Cardiology,5,Thursday,83,8,13,301
General Medicine,22,Wednesday,36,6,1,66
Pediatrics,15,Sunday,12,8,12,199
Orthopedics,13,Tuesday,22,5,13,231
Pediatrics,2,Sunday,49,7,5,144
Orthopedics,14,Sunday,97,8,11,238
General Medicine,2,Saturday,37,7,6,157
Neurology,22,Wednesday,9,4,3,85
Pediatrics,1,Saturday,86,5,6,222
Orthopedics,0,Sunday,78,6,12,306
Neurology,8,Tuesday,40,6,10,189
Cardiology,8,Sunday,27,9,7,128
Orthopedics,22,Thursday,44,2,18,465
General Medicine,6,Sunday,9,6,1,31
Cardiology,2,Saturday,38,3,17,393
Cardiology,17,Wednesday,28,2,9,219
Emergency,10,Tuesday,21,6,5,104
Pediatrics,6,Saturday,99,4,3,172
Orthopedics,8,Sunday,75,5,18,357
Cardiology,0,Thursday,85,5,13,344
Emergency,13,Friday,96,3,13,359
General Medicine,19,Thursday,26,4,17,291
Neurology,5,Sunday,19,3,16,339
Orthopedics,6,Thursday,19,7,17,283
Cardiology,9,Friday,29,1,17,408
Pediatrics,6,Thursday,57,6,4,122
Emergency,1,Friday,25,4,8,194
Cardiology,3,Sunday,70,1,0,419
Pediatrics,20,Friday,95,1,3,533
Cardiology,16,Saturday,36,5,6,133
Orthopedics,0,Saturday,25,5,10,217
Orthopedics,9,Friday,72,7,13,259
Orthopedics,18,Tuesday,48,4,9,205
General Medicine,14,Wednesday,87,9,18,327
General Medicine,9,Tuesday,70,4,7,202
Emergency,18,Friday,94,7,2,102
Orthopedics,11,Wednesday,18,5,7,141
Pediatrics,23,Saturday,19,5,17,341
Cardiology,15,Wednesday,24,6,4,90
Neurology,8,Friday,38,8,19,318
Pediatrics,14,Saturday,40,5,10,191
General Medicine,16,Wednesday,87,3,8,271
General Medicine,13,Wednesday,13,6,18,284
Pediatrics,17,Tuesday,75,2,11,355
General Medicine,1,Wednesday,34,8,4,100
Orthopedics,3,Sunday,81,8,15,338
Emergency,17,Friday,95,3,12,348
Cardiology,6,Monday,67,8,5,119
Emergency,12,Monday,39,9,15,260
Cardiology,14,Monday,17,5,17,283
Cardiology,22,Friday,83,5,16,398
Emergency,21,Monday,50,6,11,227
Pediatrics,0,Tuesday,60,7,0,61
Cardiology,10,Friday,13,3,6,125
Emergency,9,Sunday,91,5,13,297
Cardiology,4,Saturday,40,1,17,566
Neurology,15,Sunday,7,5,0,22
Pediatrics,10,Friday,23,4,19,322
Orthopedics,20,Friday,32,1,9,303
Cardiology,5,Wednesday,27,7,14,279
Neurology,8,Wednesday,11,1,10,215
Orthopedics,12,Wednesday,80,8,3,108
Orthopedics,23,Thursday,18,2,14,317
Cardiology,7,Tuesday,50,5,15,292
Emergency,13,Friday,19,6,14,236
Cardiology,23,Sunday,71,9,16,354
Neurology,0,Friday,19,7,10,207
Orthopedics,16,Wednesday,55,6,17,305
Cardiology,23,Friday,92,5,15,388
Emergency,4,Saturday,12,6,14,275
Cardiology,1,Friday,73,4,10,297
Pediatrics,23,Sunday,66,1,12,600
Emergency,8,Monday,55,9,17,285
Neurology,3,Saturday,67,5,7,224
Orthopedics,16,Saturday,72,8,8,176
Cardiology,16,Friday,82,7,10,219
Emergency,20,Thursday,20,8,16,263
Pediatrics,17,Wednesday,88,1,0,447
Emergency,15,Tuesday,28,9,10,179
General Medicine,7,Tuesday,10,1,6,141
Pediatrics,10,Monday,61,3,7,206
Neurology,20,Tuesday,35,8,18,300
Orthopedics,20,Tuesday,10,1,3,105
Neurology,17,Wednesday,83,1,3,465
Cardiology,22,Wednesday,33,6,18,359
Emergency,23,Thursday,71,5,8,244
General Medicine,9,Sunday,79,6,16,313
Pediatrics,12,Monday,7,3,17,280
Pediatrics,16,Tuesday,32,6,0,43
Emergency,17,Thursday,78,2,13,391
General Medicine,9,Monday,52,8,3,88
Emergency,15,Saturday,84,6,9,216
Cardiology,19,Tuesday,14,4,13,226
Neurology,4,Tuesday,37,4,6,172
Pediatrics,12,Wednesday,71,7,11,225
Cardiology,17,Friday,73,3,15,360
Neurology,16,Monday,16,3,4,98
Cardiology,8,Tuesday,61,6,10,218
General Medicine,13,Monday,48,9,3,77
Pediatrics,16,Sunday,17,1,12,276
Emergency,3,Thursday,28,5,7,171
Emergency,17,Thursday,48,1,6,338
Neurology,19,Friday,61,1,10,467
Orthopedics,23,Tuesday,20,3,10,232
General Medicine,23,Sunday,25,3,16,343
Neurology,14,Wednesday,80,4,13,309
Orthopedics,10,Tuesday,55,3,1,119
Cardiology,11,Monday,25,6,19,323
General Medicine,8,Saturday,64,4,7,198
Cardiology,12,Thursday,55,8,1,58
Pediatrics,14,Monday,25,1,14,343
General Medicine,14,Friday,10,8,4,81
Orthopedics,4,Thursday,77,1,5,559
Pediatrics,22,Wednesday,69,1,16,600
Emergency,18,Thursday,80,7,7,173
Orthopedics,19,Saturday,62,1,18,582
Neurology,13,Sunday,82,9,4,117
Emergency,16,Tuesday,10,8,18,288
Emergency,17,Saturday,69,1,13,548
Neurology,20,Sunday,90,2,9,377
General Medicine,2,Saturday,38,2,12,348
Emergency,1,Tuesday,60,2,4,259
Orthopedics,0,Thursday,79,6,6,202
Pediatrics,9,Friday,7,4,9,158
Emergency,18,Tuesday,46,8,10,189
Orthopedics,16,Tuesday,66,1,2,367
Cardiology,11,Sunday,10,4,12,196
Orthopedics,0,Wednesday,10,5,1,38
Pediatrics,11,Thursday,67,9,3,86
Orthopedics,16,Tuesday,24,5,2,68
Neurology,23,Friday,25,3,14,312
Pediatrics,2,Monday,6,4,3,78
General Medicine,10,Thursday,94,7,3,128
Cardiology,16,Wednesday,99,1,14,600
Neurology,22,Saturday,94,6,5,203
General Medicine,2,Tuesday,60,8,4,126
Orthopedics,7,Friday,14,1,11,246
Pediatrics,19,Thursday,91,8,6,157
Cardiology,3,Friday,74,7,2,107
Neurology,20,Friday,27,1,6,233
General Medicine,21,Sunday,96,9,11,235
General Medicine,6,Saturday,34,3,14,274
Cardiology,13,Wednesday,82,2,18,476
Orthopedics,13,Thursday,41,7,5,112
Cardiology,3,Tuesday,59,3,7,251
General Medicine,15,Wednesday,53,1,5,352
Emergency,23,Tuesday,38,3,2,127
Neurology,21,Monday,48,6,4,111
Cardiology,0,Friday,26,3,8,205
General Medicine,16,Monday,35,5,15,270
Orthopedics,9,Sunday,11,9,15,239
General Medicine,21,Friday,25,7,8,140
Orthopedics,15,Saturday,20,2,17,314
Cardiology,15,Wednesday,24,1,12,323
Orthopedics,7,Tuesday,47,7,10,188
Pediatrics,6,Sunday,48,4,9,195
Pediatrics,5,Saturday,51,7,9,226
Pediatrics,15,Tuesday,23,6,5,106
Emergency,19,Wednesday,52,7,15,273
Cardiology,15,Thursday,83,4,11,276
General Medicine,6,Sunday,73,3,3,177
General Medicine,8,Monday,15,5,4,85
Emergency,13,Monday,83,3,1,169
Orthopedics,10,Tuesday,33,3,18,339
Emergency,13,Tuesday,49,4,0,74
Orthopedics,6,Tuesday,72,8,3,96
Orthopedics,0,Sunday,40,2,11,331
Neurology,12,Wednesday,52,4,1,86
General Medicine,19,Thursday,91,3,11,332
Pediatrics,2,Monday,19,7,15,293
Orthopedics,19,Saturday,48,2,1,144
Neurology,3,Friday,71,1,16,600
General Medicine,10,Sunday,78,1,1,412
Pediatrics,1,Sunday,44,6,3,106
Orthopedics,13,Wednesday,90,3,5,234
Orthopedics,11,Monday,18,7,6,108
Emergency,16,Thursday,67,8,14,267
Emergency,11,Wednesday,85,5,19,379
General Medicine,11,Saturday,89,5,11,261
Pediatrics,0,Monday,55,2,4,253
Orthopedics,12,Wednesday,83,8,13,267
General Medicine,13,Monday,62,1,15,542
General Medicine,23,Monday,19,9,10,203
Cardiology,1,Sunday,69,1,11,600
Emergency,11,Thursday,92,1,18,600
Pediatrics,20,Sunday,59,1,16,549
Orthopedics,15,Friday,80,7,6,156
General Medicine,3,Thursday,14,4,8,174
Orthopedics,7,Monday,46,7,13,240
Cardiology,1,Wednesday,99,5,19,477
Pediatrics,9,Saturday,15,7,11,193
General Medicine,8,Thursday,20,7,14,231
Orthopedics,22,Friday,77,4,11,330
Emergency,14,Monday,82,2,12,395
Cardiology,12,Saturday,23,8,8,135
Pediatrics,22,Thursday,35,2,6,234
Cardiology,16,Sunday,77,9,0,54
Emergency,15,Sunday,57,5,9,205
Pediatrics,1,Thursday,94,9,5,170
Cardiology,19,Thursday,12,9,14,229
Neurology,19,Thursday,28,8,14,232
Emergency,13,Saturday,12,8,8,140
Emergency,2,Sunday,87,4,12,361
Emergency,22,Wednesday,52,4,0,79
Neurology,11,Friday,34,2,8,223
Neurology,7,Friday,62,4,2,115
Orthopedics,1,Monday,90,4,8,296
General Medicine,3,Tuesday,59,6,19,410
Cardiology,13,Wednesday,77,3,14,345
Orthopedics,15,Sunday,66,2,6,264
Cardiology,18,Monday,52,8,3,98
General Medicine,1,Monday,8,2,19,390
Neurology,11,Thursday,41,8,16,272
General Medicine,13,Tuesday,12,7,3,69
Neurology,5,Sunday,5,3,18,346
General Medicine,12,Tuesday,96,6,4,160
Orthopedics,3,Wednesday,74,6,15,362
Pediatrics,21,Tuesday,51,5,2,92
Orthopedics,17,Monday,79,8,10,209
Cardiology,11,Tuesday,9,5,14,232
Orthopedics,19,Tuesday,54,7,18,320
Emergency,21,Friday,28,6,13,222
Cardiology,20,Sunday,51,7,15,272
General Medicine,18,Sunday,22,9,5,93
Cardiology,7,Monday,88,3,4,214
Pediatrics,6,Saturday,32,7,16,278
Neurology,15,Tuesday,81,3,15,371
General Medicine,18,Tuesday,9,2,1,45
Cardiology,5,Thursday,34,7,10,213
General Medicine,19,Sunday,5,4,3,57
General Medicine,20,Tuesday,90,1,5,534
General Medicine,10,Sunday,86,6,6,180
Neurology,4,Tuesday,50,6,16,343
Orthopedics,15,Friday,73,6,7,177
General Medicine,6,Monday,35,2,0,99
Emergency,4,Sunday,74,1,14,600
Pediatrics,10,Wednesday,95,3,19,453
Neurology,14,Monday,60,2,11,327
Cardiology,2,Thursday,93,6,14,364
Neurology,4,Monday,97,6,14,356
Cardiology,22,Tuesday,32,5,8,199
Neurology,20,Thursday,20,5,15,248
Cardiology,4,Monday,58,9,1,69
General Medicine,8,Thursday,57,5,14,275
Orthopedics,14,Wednesday,16,6,14,229
Cardiology,2,Monday,24,4,6,161
Cardiology,5,Sunday,86,1,12,600
Emergency,16,Sunday,38,4,16,302
Cardiology,20,Saturday,57,2,10,304
Emergency,7,Tuesday,68,3,9,252
Pediatrics,20,Thursday,27,7,0,27
General Medicine,10,Saturday,31,7,13,232
Emergency,5,Saturday,21,1,4,215
Orthopedics,7,Friday,52,8,7,153
General Medicine,9,Thursday,25,7,0,29
Emergency,23,Saturday,54,1,6,442
General Medicine,2,Friday,44,8,1,51
General Medicine,22,Saturday,99,2,6,422
General Medicine,13,Tuesday,7,8,6,103
Pediatrics,22,Wednesday,21,3,8,190
Orthopedics,13,Friday,65,7,3,105
Neurology,9,Wednesday,54,6,6,152
Neurology,11,Thursday,94,5,19,393
Emergency,5,Tuesday,91,2,17,595
General Medicine,11,Friday,10,2,12,219
Emergency,22,Thursday,32,1,10,367
Pediatrics,13,Saturday,76,9,8,180
Pediatrics,1,Sunday,59,8,13,285
Cardiology,8,Monday,62,8,7,150
Pediatrics,9,Thursday,49,1,13,447
Cardiology,16,Wednesday,76,5,16,324
Orthopedics,16,Tuesday,23,6,13,231
Emergency,2,Tuesday,33,2,4,186
Orthopedics,18,Thursday,27,5,9,168
Pediatrics,0,Saturday,36,6,5,134
Orthopedics,11,Monday,14,9,9,165
Orthopedics,6,Wednesday,95,1,10,600
Orthopedics,3,Thursday,53,3,5,205
Pediatrics,9,Thursday,69,9,9,175
General Medicine,12,Sunday,33,1,13,361
Orthopedics,1,Tuesday,63,1,19,600
Cardiology,9,Wednesday,49,1,2,285
Pediatrics,20,Monday,71,7,6,156
Orthopedics,21,Tuesday,55,5,1,83
General Medicine,3,Thursday,99,6,6,226
Pediatrics,17,Tuesday,15,8,16,262
Neurology,4,Tuesday,90,2,12,490
General Medicine,18,Friday,86,2,8,347
Cardiology,1,Tuesday,10,3,12,250
Orthopedics,11,Saturday,71,3,14,337
Neurology,16,Tuesday,66,3,12,298
Neurology,9,Saturday,9,4,16,260
Pediatrics,1,Wednesday,13,3,7,154
Neurology,5,Tuesday,32,2,8,244
Cardiology,7,Monday,87,9,8,191
Cardiology,18,Saturday,96,6,7,188
Emergency,10,Saturday,95,3,15,384
Cardiology,11,Thursday,81,9,19,336
General Medicine,8,Wednesday,42,4,6,154
Neurology,1,Tuesday,47,4,16,373
Cardiology,7,Sunday,25,8,6,110
Pediatrics,10,Monday,95,7,5,153
Emergency,20,Thursday,66,7,4,114
Neurology,3,Wednesday,50,7,16,343
Emergency,9,Saturday,74,5,7,187
Neurology,20,Monday,42,7,0,36
Pediatrics,19,Tuesday,53,4,15,298
Emergency,15,Sunday,79,8,16,288
Orthopedics,7,Friday,85,9,2,86
General Medicine,3,Friday,43,3,12,313
General Medicine,9,Wednesday,75,7,7,161
Neurology,11,Sunday,34,9,15,252
Orthopedics,13,Monday,25,1,6,223
Emergency,15,Thursday,5,2,14,223
Orthopedics,21,Monday,93,7,1,87
Orthopedics,17,Sunday,36,2,1,110
Emergency,20,Saturday,12,7,9,154
Pediatrics,21,Friday,73,1,4,441
Orthopedics,20,Wednesday,34,3,3,111
Orthopedics,11,Tuesday,12,5,14,237
Pediatrics,17,Monday,23,6,12,208
Orthopedics,6,Friday,63,9,16,286
Orthopedics,19,Thursday,59,9,0,43
Orthopedics,23,Wednesday,34,3,17,400
General Medicine,22,Tuesday,83,8,14,325
Cardiology,6,Monday,40,4,13,258
Pediatrics,8,Thursday,59,7,8,173
Orthopedics,0,Tuesday,48,6,11,264
General Medicine,5,Saturday,31,8,4,111
Pediatrics,5,Friday,81,6,1,113
Neurology,21,Saturday,82,4,6,196
Neurology,11,Friday,58,2,8,269
Orthopedics,21,Thursday,52,7,17,299
General Medicine,11,Saturday,34,4,3,96
General Medicine,9,Friday,43,9,1,49
Pediatrics,22,Wednesday,17,9,0,19
Pediatrics,5,Thursday,20,7,11,215
General Medicine,16,Friday,48,5,12,243
Pediatrics,18,Monday,75,3,13,332
General Medicine,17,Friday,31,3,4,121
Cardiology,5,Saturday,49,9,2,88
General Medicine,23,Wednesday,39,9,3,87
Neurology,18,Tuesday,83,4,16,353
Pediatrics,9,Tuesday,32,1,18,440
General Medicine,23,Friday,11,5,10,202
General Medicine,7,Tuesday,66,8,7,152
Pediatrics,20,Friday,55,4,11,248
Cardiology,23,Wednesday,50,4,17,394
Cardiology,5,Tuesday,24,9,17,337
